,0
2004Q1,301225.674551763
2004Q2,305241.65873741
2004Q3,317312.248372103
2004Q4,324547.957630247
2005Q1,321702.446474006
2005Q2,343081.078053192
2005Q3,331929.024053406
2005Q4,343898.586777964
2006Q1,353365.268643993
2006Q2,372603.087543381
2006Q3,380887.266096293
2006Q4,380636.011555957
2007Q1,391504.941542883
2007Q2,403493.072654607
2007Q3,412119.428113328
2007Q4,419288.708706151
2008Q1,438615.836782796
2008Q2,440636.118298681
2008Q3,435768.13437992
2008Q4,429213.477868926
2009Q1,407841.866988642
2009Q2,395219.651478073
2009Q3,427161.227684315
2009Q4,419863.163249625
2010Q1,437372.202081867
2010Q2,456771.861988663
2010Q3,462988.968527001
2010Q4,477567.631828922
2011Q1,491129.936447623
2011Q2,494852.849930572
2011Q3,508546.014013705
2011Q4,512059.813246479
2012Q1,497163.112673043
2012Q2,495936.430056397
2012Q3,514963.130815731
2012Q4,520804.728181524
2013Q1,520831.045202544
2013Q2,515256.047605223
2013Q3,534794.127033792
2013Q4,531816.909312314
2014Q1,518707.227200226
2014Q2,499802.391332194
2014Q3,490902.633839238
2014Q4,501645.493296201
2015Q1,511534.674273463
2015Q2,527223.286193052
2015Q3,523368.754264899
2015Q4,522459.247455606
2016Q1,521148.286408208
2016Q2,512148.803203364
2016Q3,515979.9371238
2016Q4,519043.528415824
2017Q1,529980.096864001
2017Q2,535946.820761649
2017Q3,539066.684073178
2017Q4,549336.897185944
2018Q1,552557.091353405
2018Q2,539674.218503246
2018Q3,523321.28514485
2018Q4,490397.542149339
2019Q1,494139.087148526
2019Q2,505227.755151839
2019Q3,501077.277384191
2019Q4,476476.333447445
2020Q1,464626.533310614
2020Q2,391441.253222762
2020Q3,426156.18109847
2020Q4,454078.26847603
2021Q1,463317.111389534
2021Q2,466251.469217034
2021Q3,474840.306435949
2021Q4,496255.094673647
2022Q1,508799.60176803
2022Q2,524003.928662801
2022Q3,525149.849373859
2022Q4,522631.838322049
2023Q1,528451.306415279
2023Q2,533836.664481005
2023Q3,527178.359872027
2023Q4,511656.605494692
2024Q1,500846.498559177
2024Q2,489455.494857873
2024Q3,515831.645038387
2024Q4,534761.54887526
2025Q1,546670.130882202
2025Q2,552326.577776533
2025Q3,555411.905235198
2025Q4,561326.569468535
2026Q1,565983.811893563
