periodo,ganancias,ganancias dgi,ganancias dga,iva,iva dgi,devoluciones (-),iva dga,reintegros (-),internos coparticipados,otros coparticipados,derechos de exportacion,bienes personales,creditos y debitos en cta. cte,otros impuestos (3),aportes personales,contribuciones patronales,otros ingresos seguridad social (4),subtotal dgi,subtotal dga (5),total dgi-dga,sistema seguridad social,total recursos tributarios,clasificacion presupuestaria,administracion nacional
2004-01,1281.22924298,1227.02086263,54.20838035,2489.72231287,1869.29355086,216.76003784,837.18879985,100.0,242.91350496,18.80740343,639.69196986,29.91987938,606.89552648,78.69361844,628.15643591,989.73374613,33.12585983,4110.24556545,1799.91110372,5910.15666917,1249.82973372,7159.98640289,7159.98640289,3990.82972226405
2004-02,1058.75255258,1008.12209518,50.6304574,2153.59351057,1575.540873,196.65620829,774.70884586,100.01090735,227.99713661,12.5580731,625.57329566,110.61207303,514.42412528,57.2065964,477.16750381,760.51367285,28.9815358,3731.2448293,1666.56528692,5397.81011622,962.4917848,6360.30190102,6360.30190102,3614.65032053253
2004-03,1039.24298539,976.3712457,62.87173969,2301.88623394,1524.34061195,186.77650756,964.32212955,100.01285234,247.98813922,16.086900595,700.69689456,23.37094643,607.25490565,83.698935565,482.59091555,691.48015531,32.87454875,3729.24439973,1986.44692464,5715.69132437,897.13087909,6612.82220346,6612.82220346,3899.06435642663
2004-04,1175.56518146,1117.94723559,57.61794587,2298.45298281,1576.27871025,194.34139849,916.51567105,130.0,201.9253623,14.891536,1031.3109613,74.05717485,571.80479723,60.22028998,500.05681191,693.99552655,32.01486218,3857.26267259,2268.15742968,6125.42010227,922.50972827,7047.92983054,7047.92983054,4235.42330266148
2004-05,5432.47773476,5365.85699948,66.62073528,2472.16357478,1578.03292206,195.08432751,1089.21498023,100.0,239.46812445,18.556956525,1081.61583242,680.82509431,670.13762697,93.145081615,513.95509991,781.45301676,31.11279731,8911.25569662,2524.68820011,11435.94389673,931.84759093,12367.79148766,12367.79148766,7727.77077765519
2004-06,2912.93049575,2830.80419297,82.12630278,2899.4439408,1766.85123487,95.15018846,1227.74289439,120.01285234,231.6942423,15.93948064,858.15551894,213.59723756,652.07378002,58.19706422,481.94991613,747.08829545,13.68607266,6057.45543894,2470.92317166,8528.3786106,941.49193065,9469.87054125,9469.87054125,5733.00467397552
2004-07,1638.76115091,1553.59647101,85.1646799,2818.15880534,1717.7804348,88.34710619,1188.72547673,155.0,232.43389558,16.60980422,990.05164189,101.48497897,673.02197815,191.22892165,692.5459344,1125.37142434,63.69405432,4727.83259429,2566.70397763,7294.53657192,1409.78933583,8704.32590775,8704.32590775,5002.69149278641
2004-08,1737.78672499,1648.11303319,89.6736918,2866.46987814,1796.64499883,132.45520654,1202.28008585,165.0,260.50920819,17.696183665,886.05102091,127.75675596,652.38056314,249.470178935,502.55252882,782.67124831,42.91956397,4976.65787786,2495.46770304,7472.1255809,997.34228647,8469.46786737,8469.46786737,5110.35867590143
2004-09,1499.71259591,1417.46772664,82.24486927,2758.96338263,1757.9054403,151.22438875,1152.28233108,99.98714766,261.04064124,20.242310695,880.79884401,30.71720354,665.08322409,-51.973717185,530.97988191,866.97243245,151.65802207,4346.54129976,2431.84520631,6778.38650607,1197.29995053,7975.6864566,7975.6864566,4558.14771515283
2004-10,1692.37122291,1613.05305282,79.31817009,2569.65520493,1660.19958858,199.29005709,1108.74567344,120.0,267.77000219,16.527063285,894.13228055,127.22312696,644.28932763,102.660053755,519.18712753,813.12865884,57.58707479,4612.52684642,2378.31456966,6990.84141608,1061.23442386,8052.07583994,8052.07583994,4748.84193326494
