,gasto_primario,resultado_primario,resultado_financiero,ingresos_totales
2004-01,6860.8,1588.6,1363.6,
2004-02,6454.4,999.1,-26.1000000000003,
2004-03,7827.9,1401.6,1038.1,
2004-04,6905.7,1678.7,1329.5,
2004-05,9016.3,4378.1,3824.3,
2004-06,8787.1,1800.3,1513.2,
2004-07,9844.8,1656.2,1452.5,
2004-08,7880.8,1939.0,864.9,
2004-09,8326.2,1386.8,1053.7,
2004-10,8246.1,1510.0,1263.0,
2004-11,8614.5,1085.7,357.600000000001,
2004-12,12343.4,-2063.3,-2376.5,
2005-01,8448.1,1642.5,1455.2,
2005-02,8483.9,1389.9,183.700000000002,
2005-03,8891.1,1234.9,890.7,
2005-04,9118.3,2244.3,1899.6,
2005-05,10634.7,3307.2,648.9,
2005-06,11333.7,1804.2,768.500000000001,
2005-07,10385.2,1836.8,1679.4,
2005-08,10131.9,1845.5,380.9,
2005-09,10618.7,1617.0,909.999999999998,
2005-10,10860.5,1144.1,700.3,
2005-11,10632.2,1570.8,861.100000000003,
2005-12,13796.5,24.0000000000006,-960.199999999999,
2006-01,11586.0,1603.0,1335.4,
2006-02,10876.71,1904.49,209.49,
2006-03,11459.0,1404.1,682.0,
2006-04,11664.8,1533.6,1091.7,
2006-05,12614.7,3906.1,3562.0,
2006-06,14406.5,2243.2,1153.7,
2006-07,13699.6,2088.2,1824.4,
2006-08,13566.0,2207.5,-91.1999999999997,
2006-09,13149.1,2212.6,1436.5,
2006-10,14264.3,2142.4,1429.1,
2006-11,15007.7,1640.4,1359.7,
2006-12,17668.5,279.199999999999,-2369.8,
2007-01,12278.5,1635.4,766.9,
2007-02,11327.8,1968.0,87.3000000000016,
2007-03,12373.4,1485.9,295.499999999999,
2007-04,11747.5,1617.4,636.600000000001,
2007-05,12521.22,5354.68,4966.88,
2007-06,15799.5,2302.5,1100.9,
2007-07,16504.0,2576.8,1520.6,
2007-08,14123.2,2718.2,891.899999999999,
2007-10,15551.9,2168.1,682.8,
2007-11,15451.5,1912.4,1524.9,
2007-12,19986.9,-1198.9,-5241.4,
2008-01,18165.6,3389.3,2417.5,
2008-02,16034.8,3178.9,1549.8,
2008-03,16361.1,2275.8,851.400000000002,
2008-04,17969.1,2789.9,1611.1,
2008-05,17681.9,6026.3,5697.1,
2008-06,20019.0,2649.3,1258.5,
2008-07,21302.7,4022.1,3242.2,
2008-08,19829.2,3702.9,2627.3,
2008-09,20375.6,3532.1,2208.3,
