,gastos_corrientes,intereses,gastos_capital,gasto_antes,gp_h
2004-01,6056.1,225.0,346.9,6403.0,6178.0
2004-02,6478.6,1025.2,277.5,6756.1,5730.900000000001
2004-03,6535.2,363.5,622.6,7157.8,6794.3
2004-04,5823.9,349.2,507.8,6331.7,5982.5
2004-05,8265.7,553.8,547.1,8812.8,8259.0
2004-06,7962.7,287.1,413.6,8376.3,8089.199999999999
2004-07,7383.7,203.7,460.1,7843.8,7640.1
2004-08,7420.8,1074.1,461.9,7882.7,6808.6
2004-09,7028.6,333.1,477.1,7505.7,7172.599999999999
2004-10,7043.7,247.0,333.1,7376.8,7129.8
2004-11,7746.3,728.1,401.4,8147.7,7419.599999999999
2004-12,9910.7,313.2,943.1,10853.8,10540.599999999999
2005-01,7125.7,187.3,687.9,7813.6,7626.3
2005-02,7887.0,1206.2,630.0,8517.0,7310.8
2005-03,7293.4,344.2,761.7,8055.1,7710.900000000001
2005-04,7579.7,344.7,610.8,8190.5,7845.8
2005-05,11226.3,2658.3,789.1,12015.4,9357.099999999999
2005-06,9878.6,1035.7,911.6,10790.2,9754.5
2005-07,8174.4,157.4,792.3,8966.7,8809.300000000001
2005-08,9634.2,1464.6,781.8,10416.0,8951.4
2005-09,8893.7,707.0,828.2,9721.9,9014.9
2005-10,8824.1,443.8,972.4,9796.5,9352.7
2005-11,8835.8,709.7,980.4,9816.2,9106.5
2005-12,11651.1,984.2,1258.0,12909.1,11924.9
2006-01,9042.2,267.6,1186.4,10228.6,9961.0
2006-02,9899.61,1695.0,1044.5,10944.11,9249.11
2006-03,9201.2,722.1,1352.2,10553.4,9831.3
2006-04,8513.1,441.9,1551.8,10064.9,9623.0
2006-05,10175.2,344.1,1145.1,11320.3,10976.199999999999
2006-06,12477.3,1089.5,1012.9,13490.2,12400.7
2006-07,10533.1,263.8,1088.6,11621.7,11357.900000000001
2006-08,12333.2,2298.7,1400.0,13733.2,11434.5
2006-09,10494.7,776.1,1401.3,11896.0,11119.9
2006-10,11151.6,713.3,1676.9,12828.5,12115.2
2006-11,11101.8,280.7,1716.3,12818.1,12537.4
2006-12,15515.4,2649.0,1883.7,17399.1,14750.099999999999
2007-01,9469.7,868.5,1565.3,11035.0,10166.5
2007-02,9557.8,1880.7,1234.3,10792.1,8911.4
2007-03,9427.2,1190.4,1665.7,11092.9,9902.5
2007-04,8863.9,980.8,1464.0,10327.9,9347.1
2007-05,9148.02,387.8,1266.9,10414.92,10027.12
2007-06,11945.6,1201.6,1721.9,13667.5,12465.9
2007-07,11886.6,1056.2,2288.0,14174.6,13118.4
2007-08,11966.4,1826.3,1380.0,13346.4,11520.1
2007-10,12308.7,1485.3,1655.0,13963.7,12478.400000000001
2007-11,11168.7,387.5,1635.9,12804.6,12417.1
2007-12,17696.7,4042.5,2405.4,20102.1,16059.599999999999
2008-01,12700.6,971.8,2094.3,14794.9,13823.1
2008-02,12292.6,1629.1,1797.4,14090.0,12460.9
2008-03,12672.1,1424.4,1492.2,14164.3,12739.9
2008-04,13415.1,1178.8,1933.4,15348.5,14169.7
2008-05,12914.1,329.2,1458.8,14372.9,14043.699999999999
2008-06,15945.0,1390.8,1752.5,17697.5,16306.7
2008-07,15650.1,779.9,1803.8,17453.9,16674.0
2008-08,14380.3,1075.6,1858.3,16238.6,15163.0
2008-09,15256.0,1323.8,2002.9,17258.9,15935.100000000002
2008-10,16663.0,1528.4,2228.3,18891.3,17362.899999999998
2008-11,14079.1,346.5,1749.8,15828.9,15482.4
2008-12,24935.2,5895.6,3404.7,28339.9,22444.300000000003
2009-01,15343.8,957.0,2973.7,18317.5,17360.5
2009-02,14762.2,965.2,2301.6,17063.8,16098.599999999999
2009-03,16181.92,1628.9,1932.5,18114.42,16485.519999999997
2009-04,17104.1,2559.1,2947.5,20051.6,17492.5
2009-05,15614.7,246.0,3351.6,18966.3,18720.3
2009-06,22004.3,2549.9,3721.3,25725.6,23175.699999999997
2009-07,20145.2,1336.7,2742.7,22887.9,21551.2
2009-08,17585.7,784.5,2531.9,20117.6,19333.1
2009-09,19576.3,2403.8,3325.6,22901.9,20498.100000000002
2009-10,19987.0,2541.9,2963.6,22950.6,20408.699999999997
2009-11,19025.3,477.0,2706.9,21732.2,21255.2
2009-12,34019.3,7966.7,4496.6,38515.9,30549.2
2010-01,19785.9,599.8,2518.6,22304.5,21704.7
2010-02,20465.2,1517.7,2903.2,23368.4,21850.7
2010-03,22050.0,2422.4,3157.2,25207.2,22784.8
2010-04,22110.1,2900.4,3404.7,25514.8,22614.399999999998
2010-05,21763.5,441.8,3915.1,25678.6,25236.8
2010-06,27606.5,3009.6,3775.8,31382.3,28372.7
2010-07,26174.5,1238.7,3850.7,30025.2,28786.5
2010-08,22336.2,447.1,3526.6,25862.8,25415.7
2010-09,27493.1,3300.8,4250.0,31743.1,28442.3
2010-10,26084.3,2279.2,4804.8,30889.1,28609.899999999998
2010-11,28222.7,1190.7,4642.6,32865.3,31674.600000000002
2010-12,37688.8,2699.0,4890.8,42579.6,39880.6
2011-01,28112.8,2017.1,3759.1,31871.9,29854.800000000003
2011-02,24754.7,565.9,2963.9,27718.6,27152.699999999997
2011-03,28845.9,2611.1,3856.2,32702.1,30091.0
2011-04,29255.9,2384.7,3507.0,32762.9,30378.2
2011-05,30672.1,1242.1,4515.5,35187.6,33945.5
2011-06,38795.4,4241.6,4019.1,42814.5,38572.9
2011-07,33457.7,583.7,6074.0,39531.7,38948.0
2011-08,31778.6,1445.6,5601.7,37380.3,35934.700000000004
2011-09,36126.3,2351.0,5944.2,42070.5,39719.5
2011-10,37634.3,3423.0,5635.2,43269.5,39846.5
2011-11,33141.6,476.3,3476.4,36618.0,36141.7
2011-12,59424.0,14241.4,4154.5,63578.5,49337.1
2012-01,38627.5,3437.5,4899.2,43526.7,40089.2
2012-02,31661.0,602.9,4213.0,35874.0,35271.1
2012-03,39847.7,3240.9,5090.5,44938.2,41697.299999999996
2012-04,37650.5,2924.7,4846.8,42497.3,39572.600000000006
2012-05,40445.9,2281.5,5042.5,45488.4,43206.9
2012-06,49844.5,3040.4,4584.1,54428.6,51388.2
2012-07,46778.9,3413.0,5262.9,52041.8,48628.8
2012-08,41792.33,759.6,5077.1,46869.43,46109.83
2012-09,44304.3,3124.5,5825.0,50129.3,47004.8
2012-10,48832.3,4711.1,5414.3,54246.6,49535.5
2012-11,44975.0,1550.6,5165.8,50140.8,48590.200000000004
2012-12,79421.4,22103.1,6362.8,85784.2,63681.1
2013-01,46540.8,2398.2,6144.6,52685.4,50287.200000000004
2013-02,43371.3,730.3,5549.5,48920.8,48190.5
2013-03,49557.3,4014.0,5640.2,55197.5,51183.5
2013-04,51716.1,4511.6,7075.1,58791.2,54279.6
2013-05,51283.1,2327.5,8306.0,59589.1,57261.6
2013-06,61597.0,4534.8,6862.9,68459.9,63925.09999999999
2013-07,62286.1,3528.6,7601.6,69887.7,66359.09999999999
2013-08,55293.4,1663.0,7853.7,63147.1,61484.1
2013-09,64772.8,5254.6,8933.7,73706.5,68451.9
2013-10,63274.0,4521.6,10192.3,73466.3,68944.7
2013-11,61337.5,2790.7,7692.0,69029.5,66238.8
2013-12,80615.3,5723.5,8895.4,89510.7,83787.2
2014-01,68050.4,3850.6,8329.3,76379.7,72529.09999999999
2014-02,63340.4,2134.5,7295.3,70635.7,68501.2
2014-03,70261.5,7935.7,7115.2,77376.7,69441.0
2014-04,72626.1,4948.3,11077.2,83703.3,78755.0
2014-05,74650.0,4234.6,9488.9,84138.9,79904.29999999999
2014-06,105530.39,16389.8,10879.4,116409.79,100019.98999999999
