,0
2003-12,0.2
2004-01,0.4
2004-02,0.1
2004-03,0.6
2004-04,0.8999999999999999
2004-05,0.7000000000000001
2004-06,0.6
2004-07,0.5
2004-08,0.3
2004-09,0.6
2004-10,0.4
2004-11,0.0
2004-12,0.8
2005-01,1.5
2005-02,0.8999999999999999
2005-03,1.5
2005-04,0.5
2005-05,0.6
2005-06,0.8999999999999999
2005-07,1.0
2005-08,0.4
2005-09,1.2
2005-10,0.8
2005-11,1.2
2005-12,1.1
2006-01,1.3
2006-02,0.4
2006-03,1.2
2006-04,1.0
2006-05,0.5
2006-06,0.5
2006-07,0.6
2006-08,0.6
2006-09,0.8999999999999999
2006-10,0.8999999999999999
2006-11,0.7000000000000001
2006-12,1.0
2007-01,1.129793867096862
2007-02,0.4810496365499794
2007-03,1.0417470483833569
2007-04,2.2682144493661127
2007-05,2.083488910462239
2007-06,2.655449890270689
2007-07,2.551129480510217
2007-08,3.321520394691136
2007-09,2.004169749142504
2007-10,1.4307377859827275
2007-11,-0.4030161206448279
2007-12,0.9789844667797976
2008-01,2.02300930713546
2008-02,2.2363002850807723
2008-03,4.06493989341925
2008-04,2.989162796236755
2008-05,0.2486123959296815
2008-06,2.422285022204296
2008-07,1.402105974435508
2008-08,0.8163038649489085
2008-09,1.0795923987882097
2008-10,0.5830744918533082
2008-11,0.6392891970961045
2008-12,0.4468130921619462
2009-01,1.1576183075191482
2009-02,-0.0105960264900728
2009-03,2.3366714353838747
2009-04,1.8225121673397515
2009-05,0.8644360825790898
2009-06,0.5293405928614492
2009-07,1.0029587282483376
2009-08,1.856908793009282
2009-09,1.540336339263959
2009-10,1.6609860304354074
2009-11,1.147471313217152
2009-12,3.202614379084978
2010-01,2.216592780240667
2010-02,4.3547530536378165
2010-03,2.62934690415606
2010-04,1.36776859504133
2010-05,1.5816721699074554
2010-06,1.0875235763875055
2010-07,1.464867010718529
2010-08,1.060291873703978
2010-09,1.5873015873015817
2010-10,3.266006097561003
2010-11,1.8968889544968004
2010-12,1.7022201296584605
2011-01,1.1003881628147028
2011-02,1.0778443113772518
2011-03,2.658907164761648
2011-04,2.596829491836128
2011-05,1.7403388035997835
2011-06,1.505691056910563
2011-07,1.7396597571524677
2011-08,2.4310366544904705
2011-09,1.9183472700442736
2011-10,1.1009893822393924
2011-11,1.3903392308380669
2011-12,1.8656387017037976
2012-01,1.155501632146061
2012-02,1.4707142245195204
2012-03,3.388494877856596
2012-04,2.0007621951219523
2012-05,1.9081422967094583
2012-06,1.3355680092180355
2012-07,2.4834608228240684
2012-08,1.6658180379245158
2012-09,1.5346401261851494
2012-10,1.4843988071556955
2012-11,1.985950366797118
2012-12,1.5770813159571628
2013-01,1.9808312350667932
2013-02,1.7998788881726124
2013-03,2.0120068871006924
2013-04,1.8198868198627929
2013-05,1.7022067476613945
2013-06,2.115486406505218
2013-07,2.358844449177777
2013-08,1.7573411607281504
2013-09,1.7457412852903549
2013-10,2.312757188147548
2013-11,2.5670730459334283
2013-12,2.799355445307812
2014-01,4.112128833735426
2014-02,5.805958102589059
2014-03,3.638705469528647
2014-04,2.490266309400761
2014-05,2.5317784119366955
2014-06,2.067203367253767
2014-07,1.789150768990437
2014-08,2.447374980314636
2014-09,2.5362724075910075
2014-10,1.5266502973102427
2014-11,1.5361393744720195
2014-12,1.364034330251377
2015-01,2.210449322727226
2015-02,1.6370728664615604
2015-03,1.8574666712207757
2015-04,2.076569046867645
2015-05,1.7928394736876168
2015-06,1.2489434701223288
2015-07,2.061757138639453
2015-08,1.8035822517478597
2015-09,1.9600523540081796
2015-10,1.4436543454932504
2015-11,2.329555504879255
2015-12,5.272687988040903
2016-01,4.1
2016-02,2.7
2016-03,3.0
2016-04,3.4
2016-05,4.2
2016-06,3.1
2016-07,2.0
2016-08,0.2
2016-09,1.1
2016-10,2.4
2016-11,1.6
2016-12,1.2
2017-01,1.3
2017-02,2.5
2017-03,2.4
2017-04,2.6
2017-05,1.3
2017-06,1.2
2017-07,1.7
2017-08,1.4
2017-09,1.9
2017-10,1.5
2017-11,1.4
2017-12,3.1
2018-01,1.8
2018-02,2.4
2018-03,2.3
2018-04,2.7
2018-05,2.1
2018-06,3.7
2018-07,3.1
2018-08,3.9
2018-09,6.5
2018-10,5.4
2018-11,3.2
2018-12,2.6
2019-01,2.9
2019-02,3.8
2019-03,4.7
2019-04,3.4
2019-05,3.1
2019-06,2.7
2019-07,2.2
2019-08,4.0
2019-09,5.9
2019-10,3.3
2019-11,4.3
2019-12,3.7
2020-01,2.3
2020-02,2.0
2020-03,3.3
2020-04,1.5
2020-05,1.5
2020-06,2.2
2020-07,1.9
2020-08,2.7
2020-09,2.8
2020-10,3.8
2020-11,3.2
2020-12,4.0
2021-01,4.0
2021-02,3.6
2021-03,4.8
2021-04,4.1
2021-05,3.3
2021-06,3.2
2021-07,3.0
2021-08,2.5
2021-09,3.5
2021-10,3.5
2021-11,2.5
2021-12,3.8
2022-01,3.9
2022-02,4.7
2022-03,6.7
2022-04,6.0
2022-05,5.1
2022-06,5.3
2022-07,7.4
2022-08,7.0
2022-09,6.2
2022-10,6.3
2022-11,4.9
2022-12,5.1
2023-01,6.0
2023-02,6.6
2023-03,7.7
2023-04,8.4
2023-05,7.8
2023-06,6.0
2023-07,6.3
2023-08,12.4
2023-09,12.7
2023-10,8.3
2023-11,12.8
2023-12,25.5
2024-01,20.6
2024-02,13.2
2024-03,11.0
2024-04,8.8
2024-05,4.2
2024-06,4.6
2024-07,4.0
2024-08,4.2
2024-09,3.5
2024-10,2.7
2024-11,2.4
2024-12,2.7
2025-01,2.2
2025-02,2.4
2025-03,3.7
2025-04,2.8
2025-05,1.5
2025-06,1.6
2025-07,1.9
2025-08,1.9
2025-09,2.1
2025-10,2.3
2025-11,2.5
2025-12,2.8
2026-01,2.9
2026-02,2.9
2026-03,3.4
2026-04,2.6
2026-05,2.1
2026-06,1.9
2026-07,2.1
